model,fase,region,combinacio,p_generosa
 Mistral-Small-24B-Instruct-2501,2,asia,39vs41,0.55
 Mistral-Small-24B-Instruct-2501,2,asia,39vs45,0.5
 Mistral-Small-24B-Instruct-2501,2,asia,41vs45,0.6
 Mistral-Small-24B-Instruct-2501,2,asia,38vs46,0.5
 Mistral-Small-24B-Instruct-2501,2,neo_europe,39vs41,0.5
 Mistral-Small-24B-Instruct-2501,2,neo_europe,39vs45,0.5
 Mistral-Small-24B-Instruct-2501,2,neo_europe,41vs45,0.5
 Mistral-Small-24B-Instruct-2501,2,neo_europe,38vs46,1.0
 Mistral-Small-24B-Instruct-2501,2,south_america,39vs41,0.5
 Mistral-Small-24B-Instruct-2501,2,south_america,39vs45,0.7
 Mistral-Small-24B-Instruct-2501,2,south_america,41vs45,0.6
 Mistral-Small-24B-Instruct-2501,2,south_america,38vs46,0.5
 Mistral-Small-24B-Instruct-2501,3,asia,39vs41,1.0
 Mistral-Small-24B-Instruct-2501,3,asia,39vs45,1.0
 Mistral-Small-24B-Instruct-2501,3,asia,41vs45,0.55
 Mistral-Small-24B-Instruct-2501,3,asia,38vs46,1.0
 Mistral-Small-24B-Instruct-2501,3,neo_europe,39vs41,1.0
 Mistral-Small-24B-Instruct-2501,3,neo_europe,39vs45,1.0
 Mistral-Small-24B-Instruct-2501,3,neo_europe,41vs45,1.0
 Mistral-Small-24B-Instruct-2501,3,neo_europe,38vs46,1.0
 Mistral-Small-24B-Instruct-2501,3,south_america,39vs41,0.0
 Mistral-Small-24B-Instruct-2501,3,south_america,39vs45,0.0
 Mistral-Small-24B-Instruct-2501,3,south_america,41vs45,0.5
 Mistral-Small-24B-Instruct-2501,3,south_america,38vs46,0.5
