model,fase,region,combinacio,p_generosa
Llama-3.1-8B-Instruct,2,asia,39vs41,0.5
Llama-3.1-8B-Instruct,2,asia,39vs45,1.0
Llama-3.1-8B-Instruct,2,asia,41vs45,0.5
Llama-3.1-8B-Instruct,2,asia,38vs46,1.0
Llama-3.1-8B-Instruct,2,neo_europe,39vs41,0.5
Llama-3.1-8B-Instruct,2,neo_europe,39vs45,0.0
Llama-3.1-8B-Instruct,2,neo_europe,41vs45,1.0
Llama-3.1-8B-Instruct,2,neo_europe,38vs46,1.0
Llama-3.1-8B-Instruct,2,south_america,39vs41,0.95
Llama-3.1-8B-Instruct,2,south_america,39vs45,1.0
Llama-3.1-8B-Instruct,2,south_america,41vs45,1.0
Llama-3.1-8B-Instruct,2,south_america,38vs46,0.5
Llama-3.1-8B-Instruct,3,asia,39vs41,1.0
Llama-3.1-8B-Instruct,3,asia,39vs45,1.0
Llama-3.1-8B-Instruct,3,asia,41vs45,0.5
Llama-3.1-8B-Instruct,3,asia,38vs46,1.0
Llama-3.1-8B-Instruct,3,neo_europe,39vs41,1.0
Llama-3.1-8B-Instruct,3,neo_europe,39vs45,1.0
Llama-3.1-8B-Instruct,3,neo_europe,41vs45,0.5
Llama-3.1-8B-Instruct,3,neo_europe,38vs46,1.0
Llama-3.1-8B-Instruct,3,south_america,39vs41,0.4
Llama-3.1-8B-Instruct,3,south_america,39vs45,0.5
Llama-3.1-8B-Instruct,3,south_america,41vs45,0.0
Llama-3.1-8B-Instruct,3,south_america,38vs46,0.0
