model,fase,region,combinacio,tipus,p_generosa
Llama-4-Scout-FP8,1,baseline,10vs40,control_inf,1.0
Llama-4-Scout-FP8,1,baseline,20vs40,control_inf,1.0
Llama-4-Scout-FP8,1,baseline,30vs40,control_inf,0.95
Llama-4-Scout-FP8,1,baseline,35vs40,control_inf,0.5
Llama-4-Scout-FP8,1,baseline,40vs50,control_sup,0.55
Llama-4-Scout-FP8,1,baseline,40vs60,control_sup,0.0
Llama-4-Scout-FP8,2,asia,10vs40,control_inf,1.0
Llama-4-Scout-FP8,2,asia,20vs40,control_inf,0.95
Llama-4-Scout-FP8,2,asia,30vs40,control_inf,0.85
Llama-4-Scout-FP8,2,asia,35vs40,control_inf,0.95
Llama-4-Scout-FP8,2,asia,40vs50,control_sup,0.45
Llama-4-Scout-FP8,2,asia,40vs60,control_sup,0.1
Llama-4-Scout-FP8,2,neo_europe,10vs40,control_inf,1.0
Llama-4-Scout-FP8,2,neo_europe,20vs40,control_inf,0.95
Llama-4-Scout-FP8,2,neo_europe,30vs40,control_inf,0.95
Llama-4-Scout-FP8,2,neo_europe,35vs40,control_inf,0.85
Llama-4-Scout-FP8,2,neo_europe,40vs50,control_sup,0.75
Llama-4-Scout-FP8,2,neo_europe,40vs60,control_sup,0.15
Llama-4-Scout-FP8,2,south_america,10vs40,control_inf,1.0
Llama-4-Scout-FP8,2,south_america,20vs40,control_inf,0.9
Llama-4-Scout-FP8,2,south_america,30vs40,control_inf,0.95
Llama-4-Scout-FP8,2,south_america,35vs40,control_inf,0.85
Llama-4-Scout-FP8,2,south_america,40vs50,control_sup,0.55
Llama-4-Scout-FP8,2,south_america,40vs60,control_sup,0.25
Llama-4-Scout-FP8,3,asia,10vs40,control_inf,1.0
Llama-4-Scout-FP8,3,asia,20vs40,control_inf,1.0
Llama-4-Scout-FP8,3,asia,30vs40,control_inf,1.0
Llama-4-Scout-FP8,3,asia,35vs40,control_inf,1.0
Llama-4-Scout-FP8,3,asia,40vs50,control_sup,0.95
Llama-4-Scout-FP8,3,asia,40vs60,control_sup,0.95
Llama-4-Scout-FP8,3,neo_europe,10vs40,control_inf,1.0
Llama-4-Scout-FP8,3,neo_europe,20vs40,control_inf,1.0
Llama-4-Scout-FP8,3,neo_europe,30vs40,control_inf,1.0
Llama-4-Scout-FP8,3,neo_europe,35vs40,control_inf,1.0
Llama-4-Scout-FP8,3,neo_europe,40vs50,control_sup,1.0
Llama-4-Scout-FP8,3,neo_europe,40vs60,control_sup,0.9
Llama-4-Scout-FP8,3,south_america,10vs40,control_inf,0.4
Llama-4-Scout-FP8,3,south_america,20vs40,control_inf,0.1
Llama-4-Scout-FP8,3,south_america,30vs40,control_inf,0.05
Llama-4-Scout-FP8,3,south_america,35vs40,control_inf,0.0
Llama-4-Scout-FP8,3,south_america,40vs50,control_sup,0.2
Llama-4-Scout-FP8,3,south_america,40vs60,control_sup,0.0
