model,fase,region,combinacio,p_generosa
Llama-4-Scout-FP8,2,asia,39vs41,0.6
Llama-4-Scout-FP8,2,asia,39vs45,0.9
Llama-4-Scout-FP8,2,asia,41vs45,0.75
Llama-4-Scout-FP8,2,asia,38vs46,0.95
Llama-4-Scout-FP8,2,neo_europe,39vs41,0.65
Llama-4-Scout-FP8,2,neo_europe,39vs45,0.7
Llama-4-Scout-FP8,2,neo_europe,41vs45,0.65
Llama-4-Scout-FP8,2,neo_europe,38vs46,0.9
Llama-4-Scout-FP8,2,south_america,39vs41,0.8
Llama-4-Scout-FP8,2,south_america,39vs45,0.75
Llama-4-Scout-FP8,2,south_america,41vs45,0.85
Llama-4-Scout-FP8,2,south_america,38vs46,0.65
Llama-4-Scout-FP8,3,asia,39vs41,1.0
Llama-4-Scout-FP8,3,asia,39vs45,0.95
Llama-4-Scout-FP8,3,asia,41vs45,1.0
Llama-4-Scout-FP8,3,asia,38vs46,0.95
Llama-4-Scout-FP8,3,neo_europe,39vs41,0.95
Llama-4-Scout-FP8,3,neo_europe,39vs45,1.0
Llama-4-Scout-FP8,3,neo_europe,41vs45,1.0
Llama-4-Scout-FP8,3,neo_europe,38vs46,1.0
Llama-4-Scout-FP8,3,south_america,39vs41,0.0
Llama-4-Scout-FP8,3,south_america,39vs45,0.0
Llama-4-Scout-FP8,3,south_america,41vs45,0.15
Llama-4-Scout-FP8,3,south_america,38vs46,0.1
