model,fase,region,combinacio,p_generosa
Mistral-7B-Instruct-v0.3,2,asia,39vs41,0.375
Mistral-7B-Instruct-v0.3,2,asia,39vs45,0.0
Mistral-7B-Instruct-v0.3,2,asia,41vs45,0.0
Mistral-7B-Instruct-v0.3,2,asia,38vs46,0.0
Mistral-7B-Instruct-v0.3,2,neo_europe,39vs41,0.5
Mistral-7B-Instruct-v0.3,2,neo_europe,39vs45,0.0
Mistral-7B-Instruct-v0.3,2,neo_europe,41vs45,0.0
Mistral-7B-Instruct-v0.3,2,neo_europe,38vs46,0.0
Mistral-7B-Instruct-v0.3,2,south_america,39vs41,0.0
Mistral-7B-Instruct-v0.3,2,south_america,39vs45,0.9
Mistral-7B-Instruct-v0.3,2,south_america,41vs45,0.2
Mistral-7B-Instruct-v0.3,2,south_america,38vs46,1.0
Mistral-7B-Instruct-v0.3,3,asia,39vs41,0.6
Mistral-7B-Instruct-v0.3,3,asia,39vs45,1.0
Mistral-7B-Instruct-v0.3,3,asia,41vs45,0.5
Mistral-7B-Instruct-v0.3,3,asia,38vs46,0.5
Mistral-7B-Instruct-v0.3,3,neo_europe,39vs41,1.0
Mistral-7B-Instruct-v0.3,3,neo_europe,39vs45,1.0
Mistral-7B-Instruct-v0.3,3,neo_europe,41vs45,1.0
Mistral-7B-Instruct-v0.3,3,neo_europe,38vs46,0.5
Mistral-7B-Instruct-v0.3,3,south_america,39vs41,0.5
Mistral-7B-Instruct-v0.3,3,south_america,39vs45,0.15
Mistral-7B-Instruct-v0.3,3,south_america,41vs45,0.5
Mistral-7B-Instruct-v0.3,3,south_america,38vs46,0.25
