model,fase,region,combinacio,tipus,p_generosa
Mistral-Small-24B-Instruct-2501,1,baseline,40vs50,control_sup,0.0
Mistral-Small-24B-Instruct-2501,2,asia,10vs40,control_inf,0.0
Mistral-Small-24B-Instruct-2501,2,asia,20vs40,control_inf,0.75
Mistral-Small-24B-Instruct-2501,2,asia,30vs40,control_inf,0.5
Mistral-Small-24B-Instruct-2501,2,asia,35vs40,control_inf,0.5
Mistral-Small-24B-Instruct-2501,2,asia,40vs50,control_sup,0.412
Mistral-Small-24B-Instruct-2501,2,asia,40vs60,control_sup,0.5
Mistral-Small-24B-Instruct-2501,2,neo_europe,35vs40,control_inf,0.0
Mistral-Small-24B-Instruct-2501,2,south_america,10vs40,control_inf,0.5
Mistral-Small-24B-Instruct-2501,2,south_america,20vs40,control_inf,0.5
Mistral-Small-24B-Instruct-2501,2,south_america,30vs40,control_inf,0.5
Mistral-Small-24B-Instruct-2501,2,south_america,35vs40,control_inf,0.5
Mistral-Small-24B-Instruct-2501,2,south_america,40vs50,control_sup,0.5
Mistral-Small-24B-Instruct-2501,2,south_america,40vs60,control_sup,0.5
Mistral-Small-24B-Instruct-2501,3,asia,10vs40,control_inf,1.0
Mistral-Small-24B-Instruct-2501,3,asia,20vs40,control_inf,0.55
Mistral-Small-24B-Instruct-2501,3,asia,30vs40,control_inf,1.0
Mistral-Small-24B-Instruct-2501,3,asia,35vs40,control_inf,0.9
Mistral-Small-24B-Instruct-2501,3,asia,40vs50,control_sup,1.0
Mistral-Small-24B-Instruct-2501,3,asia,40vs60,control_sup,0.5
Mistral-Small-24B-Instruct-2501,3,neo_europe,10vs40,control_inf,0.941
Mistral-Small-24B-Instruct-2501,3,neo_europe,20vs40,control_inf,1.0
Mistral-Small-24B-Instruct-2501,3,neo_europe,30vs40,control_inf,0.95
Mistral-Small-24B-Instruct-2501,3,neo_europe,35vs40,control_inf,0.95
Mistral-Small-24B-Instruct-2501,3,neo_europe,40vs50,control_sup,1.0
Mistral-Small-24B-Instruct-2501,3,neo_europe,40vs60,control_sup,0.5
Mistral-Small-24B-Instruct-2501,3,south_america,10vs40,control_inf,0.05
Mistral-Small-24B-Instruct-2501,3,south_america,20vs40,control_inf,0.0
Mistral-Small-24B-Instruct-2501,3,south_america,30vs40,control_inf,0.0
Mistral-Small-24B-Instruct-2501,3,south_america,35vs40,control_inf,0.0
Mistral-Small-24B-Instruct-2501,3,south_america,40vs50,control_sup,0.0
Mistral-Small-24B-Instruct-2501,3,south_america,40vs60,control_sup,0.0
