model,fase,region,combinacio,tipus,p_generosa
Qwen3-32B,1,baseline,10vs40,control_inf,1.0
Qwen3-32B,1,baseline,20vs40,control_inf,1.0
Qwen3-32B,1,baseline,30vs40,control_inf,1.0
Qwen3-32B,1,baseline,35vs40,control_inf,0.75
Qwen3-32B,1,baseline,40vs50,control_sup,0.75
Qwen3-32B,1,baseline,40vs60,control_sup,0.5
Qwen3-32B,2,asia,10vs40,control_inf,1.0
Qwen3-32B,2,asia,20vs40,control_inf,1.0
Qwen3-32B,2,asia,30vs40,control_inf,1.0
Qwen3-32B,2,asia,35vs40,control_inf,0.9
Qwen3-32B,2,asia,40vs50,control_sup,0.75
Qwen3-32B,2,asia,40vs60,control_sup,0.875
Qwen3-32B,2,neo_europe,10vs40,control_inf,1.0
Qwen3-32B,2,neo_europe,20vs40,control_inf,1.0
Qwen3-32B,2,neo_europe,30vs40,control_inf,1.0
Qwen3-32B,2,neo_europe,35vs40,control_inf,0.95
Qwen3-32B,2,neo_europe,40vs50,control_sup,0.95
Qwen3-32B,2,neo_europe,40vs60,control_sup,0.789
Qwen3-32B,2,south_america,10vs40,control_inf,1.0
Qwen3-32B,2,south_america,20vs40,control_inf,1.0
Qwen3-32B,2,south_america,30vs40,control_inf,1.0
Qwen3-32B,2,south_america,35vs40,control_inf,1.0
Qwen3-32B,2,south_america,40vs50,control_sup,0.889
Qwen3-32B,2,south_america,40vs60,control_sup,0.882
Qwen3-32B,3,asia,10vs40,control_inf,1.0
Qwen3-32B,3,asia,20vs40,control_inf,1.0
Qwen3-32B,3,asia,30vs40,control_inf,1.0
Qwen3-32B,3,asia,35vs40,control_inf,1.0
Qwen3-32B,3,asia,40vs50,control_sup,1.0
Qwen3-32B,3,asia,40vs60,control_sup,1.0
Qwen3-32B,3,neo_europe,10vs40,control_inf,1.0
Qwen3-32B,3,neo_europe,20vs40,control_inf,1.0
Qwen3-32B,3,neo_europe,30vs40,control_inf,1.0
Qwen3-32B,3,neo_europe,35vs40,control_inf,1.0
Qwen3-32B,3,neo_europe,40vs50,control_sup,1.0
Qwen3-32B,3,neo_europe,40vs60,control_sup,1.0
Qwen3-32B,3,south_america,10vs40,control_inf,0.278
Qwen3-32B,3,south_america,20vs40,control_inf,0.0
Qwen3-32B,3,south_america,30vs40,control_inf,0.105
Qwen3-32B,3,south_america,35vs40,control_inf,0.0
Qwen3-32B,3,south_america,40vs50,control_sup,0.0
Qwen3-32B,3,south_america,40vs60,control_sup,0.0
