model,fase,region,combinacio,p_generosa
Qwen3-32B,2,asia,39vs41,0.75
Qwen3-32B,2,asia,39vs45,0.9
Qwen3-32B,2,asia,41vs45,0.7833
Qwen3-32B,2,asia,38vs46,0.9
Qwen3-32B,2,neo_europe,39vs41,0.95
Qwen3-32B,2,neo_europe,39vs45,1.0
Qwen3-32B,2,neo_europe,41vs45,0.8036
Qwen3-32B,2,neo_europe,38vs46,0.85
Qwen3-32B,2,south_america,39vs41,1.0
Qwen3-32B,2,south_america,39vs45,1.0
Qwen3-32B,2,south_america,41vs45,0.8375
Qwen3-32B,2,south_america,38vs46,1.0
Qwen3-32B,3,asia,39vs41,0.8
Qwen3-32B,3,asia,39vs45,1.0
Qwen3-32B,3,asia,41vs45,1.0
Qwen3-32B,3,asia,38vs46,1.0
Qwen3-32B,3,neo_europe,39vs41,1.0
Qwen3-32B,3,neo_europe,39vs45,1.0
Qwen3-32B,3,neo_europe,41vs45,0.95
Qwen3-32B,3,neo_europe,38vs46,1.0
Qwen3-32B,3,south_america,39vs41,0.2
Qwen3-32B,3,south_america,39vs45,0.0
Qwen3-32B,3,south_america,41vs45,0.1667
Qwen3-32B,3,south_america,38vs46,0.0
