model,fase,region,combinacio,p_generosa
claude-haiku-4.5,2,asia,39vs41,1.0
claude-haiku-4.5,2,asia,39vs45,1.0
claude-haiku-4.5,2,asia,41vs45,1.0
claude-haiku-4.5,2,asia,38vs46,1.0
claude-haiku-4.5,2,neo_europe,39vs41,1.0
claude-haiku-4.5,2,neo_europe,39vs45,1.0
claude-haiku-4.5,2,neo_europe,41vs45,1.0
claude-haiku-4.5,2,neo_europe,38vs46,1.0
claude-haiku-4.5,2,south_america,39vs41,1.0
claude-haiku-4.5,2,south_america,39vs45,1.0
claude-haiku-4.5,2,south_america,41vs45,1.0
claude-haiku-4.5,2,south_america,38vs46,1.0
claude-haiku-4.5,3,asia,39vs41,1.0
claude-haiku-4.5,3,asia,39vs45,1.0
claude-haiku-4.5,3,asia,41vs45,1.0
claude-haiku-4.5,3,asia,38vs46,1.0
claude-haiku-4.5,3,neo_europe,39vs41,1.0
claude-haiku-4.5,3,neo_europe,39vs45,1.0
claude-haiku-4.5,3,neo_europe,41vs45,1.0
claude-haiku-4.5,3,neo_europe,38vs46,1.0
claude-haiku-4.5,3,south_america,39vs41,1.0
claude-haiku-4.5,3,south_america,39vs45,1.0
claude-haiku-4.5,3,south_america,41vs45,0.8
claude-haiku-4.5,3,south_america,38vs46,0.5
