model,fase,region,combinacio,tipus,p_generosa
deepseek-v3.2,1,baseline,10vs40,control_inf,1.0
deepseek-v3.2,1,baseline,20vs40,control_inf,1.0
deepseek-v3.2,1,baseline,30vs40,control_inf,0.95
deepseek-v3.2,1,baseline,35vs40,control_inf,0.75
deepseek-v3.2,1,baseline,40vs50,control_sup,0.95
deepseek-v3.2,1,baseline,40vs60,control_sup,0.5
deepseek-v3.2,2,asia,10vs40,control_inf,1.0
deepseek-v3.2,2,asia,20vs40,control_inf,1.0
deepseek-v3.2,2,asia,30vs40,control_inf,1.0
deepseek-v3.2,2,asia,35vs40,control_inf,1.0
deepseek-v3.2,2,asia,40vs50,control_sup,1.0
deepseek-v3.2,2,asia,40vs60,control_sup,0.85
deepseek-v3.2,2,neo_europe,10vs40,control_inf,1.0
deepseek-v3.2,2,neo_europe,20vs40,control_inf,1.0
deepseek-v3.2,2,neo_europe,30vs40,control_inf,1.0
deepseek-v3.2,2,neo_europe,35vs40,control_inf,0.9
deepseek-v3.2,2,neo_europe,40vs50,control_sup,0.95
deepseek-v3.2,2,neo_europe,40vs60,control_sup,0.6
deepseek-v3.2,2,south_america,10vs40,control_inf,1.0
deepseek-v3.2,2,south_america,20vs40,control_inf,1.0
deepseek-v3.2,2,south_america,30vs40,control_inf,1.0
deepseek-v3.2,2,south_america,35vs40,control_inf,0.95
deepseek-v3.2,2,south_america,40vs50,control_sup,0.95
deepseek-v3.2,2,south_america,40vs60,control_sup,0.6
deepseek-v3.2,3,asia,10vs40,control_inf,1.0
deepseek-v3.2,3,asia,20vs40,control_inf,1.0
deepseek-v3.2,3,asia,30vs40,control_inf,1.0
deepseek-v3.2,3,asia,35vs40,control_inf,1.0
deepseek-v3.2,3,asia,40vs50,control_sup,1.0
deepseek-v3.2,3,asia,40vs60,control_sup,1.0
deepseek-v3.2,3,neo_europe,10vs40,control_inf,1.0
deepseek-v3.2,3,neo_europe,20vs40,control_inf,1.0
deepseek-v3.2,3,neo_europe,30vs40,control_inf,1.0
deepseek-v3.2,3,neo_europe,35vs40,control_inf,1.0
deepseek-v3.2,3,neo_europe,40vs50,control_sup,1.0
deepseek-v3.2,3,neo_europe,40vs60,control_sup,1.0
deepseek-v3.2,3,south_america,10vs40,control_inf,0.85
deepseek-v3.2,3,south_america,20vs40,control_inf,0.474
deepseek-v3.2,3,south_america,30vs40,control_inf,0.35
deepseek-v3.2,3,south_america,35vs40,control_inf,0.05
deepseek-v3.2,3,south_america,40vs50,control_sup,0.0
deepseek-v3.2,3,south_america,40vs60,control_sup,0.05
