model,fase,region,combinacio,tipus,p_generosa
gpt-5-mini,1,baseline,10vs40,control_inf,0.95
gpt-5-mini,1,baseline,20vs40,control_inf,0.7
gpt-5-mini,1,baseline,30vs40,control_inf,0.05
gpt-5-mini,1,baseline,35vs40,control_inf,0.0
gpt-5-mini,1,baseline,40vs50,control_sup,0.0
gpt-5-mini,1,baseline,40vs60,control_sup,0.0
gpt-5-mini,2,asia,10vs40,control_inf,0.95
gpt-5-mini,2,asia,20vs40,control_inf,0.842
gpt-5-mini,2,asia,30vs40,control_inf,0.05
gpt-5-mini,2,asia,35vs40,control_inf,0.05
gpt-5-mini,2,asia,40vs50,control_sup,0.05
gpt-5-mini,2,asia,40vs60,control_sup,0.0
gpt-5-mini,2,neo_europe,10vs40,control_inf,1.0
gpt-5-mini,2,neo_europe,20vs40,control_inf,0.789
gpt-5-mini,2,neo_europe,30vs40,control_inf,0.05
gpt-5-mini,2,neo_europe,35vs40,control_inf,0.0
gpt-5-mini,2,neo_europe,40vs50,control_sup,0.0
gpt-5-mini,2,neo_europe,40vs60,control_sup,0.0
gpt-5-mini,2,south_america,10vs40,control_inf,1.0
gpt-5-mini,2,south_america,20vs40,control_inf,0.95
gpt-5-mini,2,south_america,30vs40,control_inf,0.05
gpt-5-mini,2,south_america,35vs40,control_inf,0.0
gpt-5-mini,2,south_america,40vs50,control_sup,0.05
gpt-5-mini,2,south_america,40vs60,control_sup,0.0
gpt-5-mini,3,asia,10vs40,control_inf,1.0
gpt-5-mini,3,asia,20vs40,control_inf,1.0
gpt-5-mini,3,asia,30vs40,control_inf,1.0
gpt-5-mini,3,asia,35vs40,control_inf,1.0
gpt-5-mini,3,asia,40vs50,control_sup,1.0
gpt-5-mini,3,asia,40vs60,control_sup,1.0
gpt-5-mini,3,neo_europe,10vs40,control_inf,1.0
gpt-5-mini,3,neo_europe,20vs40,control_inf,1.0
gpt-5-mini,3,neo_europe,30vs40,control_inf,1.0
gpt-5-mini,3,neo_europe,35vs40,control_inf,1.0
gpt-5-mini,3,neo_europe,40vs50,control_sup,1.0
gpt-5-mini,3,neo_europe,40vs60,control_sup,1.0
gpt-5-mini,3,south_america,10vs40,control_inf,0.1
gpt-5-mini,3,south_america,20vs40,control_inf,0.05
gpt-5-mini,3,south_america,30vs40,control_inf,0.0
gpt-5-mini,3,south_america,35vs40,control_inf,0.0
gpt-5-mini,3,south_america,40vs50,control_sup,0.0
gpt-5-mini,3,south_america,40vs60,control_sup,0.0
