model,fase,region,combinacio,tipus,p_generosa
llama-4-maverick,1,baseline,10vs40,control_inf,1.0
llama-4-maverick,1,baseline,20vs40,control_inf,1.0
llama-4-maverick,1,baseline,30vs40,control_inf,0.95
llama-4-maverick,1,baseline,35vs40,control_inf,0.75
llama-4-maverick,1,baseline,40vs50,control_sup,0.45
llama-4-maverick,1,baseline,40vs60,control_sup,0.1
llama-4-maverick,2,asia,10vs40,control_inf,1.0
llama-4-maverick,2,asia,20vs40,control_inf,1.0
llama-4-maverick,2,asia,30vs40,control_inf,1.0
llama-4-maverick,2,asia,35vs40,control_inf,0.65
llama-4-maverick,2,asia,40vs50,control_sup,0.45
llama-4-maverick,2,asia,40vs60,control_sup,0.1
llama-4-maverick,2,neo_europe,10vs40,control_inf,1.0
llama-4-maverick,2,neo_europe,20vs40,control_inf,1.0
llama-4-maverick,2,neo_europe,30vs40,control_inf,0.85
llama-4-maverick,2,neo_europe,35vs40,control_inf,0.85
llama-4-maverick,2,neo_europe,40vs50,control_sup,0.2
llama-4-maverick,2,neo_europe,40vs60,control_sup,0.0
llama-4-maverick,2,south_america,10vs40,control_inf,1.0
llama-4-maverick,2,south_america,20vs40,control_inf,1.0
llama-4-maverick,2,south_america,30vs40,control_inf,0.7
llama-4-maverick,2,south_america,35vs40,control_inf,0.5
llama-4-maverick,2,south_america,40vs50,control_sup,0.4
llama-4-maverick,2,south_america,40vs60,control_sup,0.0
llama-4-maverick,3,asia,10vs40,control_inf,1.0
llama-4-maverick,3,asia,20vs40,control_inf,1.0
llama-4-maverick,3,asia,30vs40,control_inf,1.0
llama-4-maverick,3,asia,35vs40,control_inf,1.0
llama-4-maverick,3,asia,40vs50,control_sup,1.0
llama-4-maverick,3,asia,40vs60,control_sup,1.0
llama-4-maverick,3,neo_europe,10vs40,control_inf,1.0
llama-4-maverick,3,neo_europe,20vs40,control_inf,1.0
llama-4-maverick,3,neo_europe,30vs40,control_inf,1.0
llama-4-maverick,3,neo_europe,35vs40,control_inf,1.0
llama-4-maverick,3,neo_europe,40vs50,control_sup,1.0
llama-4-maverick,3,neo_europe,40vs60,control_sup,1.0
llama-4-maverick,3,south_america,10vs40,control_inf,0.6
llama-4-maverick,3,south_america,20vs40,control_inf,0.65
llama-4-maverick,3,south_america,30vs40,control_inf,0.2
llama-4-maverick,3,south_america,35vs40,control_inf,0.35
llama-4-maverick,3,south_america,40vs50,control_sup,0.0
llama-4-maverick,3,south_america,40vs60,control_sup,0.0
