model,fase,region,combinacio,p_generosa
llama-4-maverick,2,asia,39vs41,0.45
llama-4-maverick,2,asia,39vs45,0.8
llama-4-maverick,2,asia,41vs45,0.05
llama-4-maverick,2,asia,38vs46,0.7
llama-4-maverick,2,neo_europe,39vs41,0.15
llama-4-maverick,2,neo_europe,39vs45,0.4
llama-4-maverick,2,neo_europe,41vs45,0.1
llama-4-maverick,2,neo_europe,38vs46,0.45
llama-4-maverick,2,south_america,39vs41,0.45
llama-4-maverick,2,south_america,39vs45,0.25
llama-4-maverick,2,south_america,41vs45,0.0
llama-4-maverick,2,south_america,38vs46,0.4
llama-4-maverick,3,asia,39vs41,1.0
llama-4-maverick,3,asia,39vs45,1.0
llama-4-maverick,3,asia,41vs45,1.0
llama-4-maverick,3,asia,38vs46,1.0
llama-4-maverick,3,neo_europe,39vs41,1.0
llama-4-maverick,3,neo_europe,39vs45,1.0
llama-4-maverick,3,neo_europe,41vs45,1.0
llama-4-maverick,3,neo_europe,38vs46,1.0
llama-4-maverick,3,south_america,39vs41,0.05
llama-4-maverick,3,south_america,39vs45,0.15
llama-4-maverick,3,south_america,41vs45,0.0
llama-4-maverick,3,south_america,38vs46,0.3
