model,fase,region,combinacio,tipus,p_generosa
qwen3-235b-a22b,1,baseline,10vs40,control_inf,0.95
qwen3-235b-a22b,1,baseline,20vs40,control_inf,1.0
qwen3-235b-a22b,1,baseline,30vs40,control_inf,0.95
qwen3-235b-a22b,1,baseline,35vs40,control_inf,0.95
qwen3-235b-a22b,1,baseline,40vs50,control_sup,0.7
qwen3-235b-a22b,1,baseline,40vs60,control_sup,0.2
qwen3-235b-a22b,2,asia,10vs40,control_inf,1.0
qwen3-235b-a22b,2,asia,20vs40,control_inf,1.0
qwen3-235b-a22b,2,asia,30vs40,control_inf,1.0
qwen3-235b-a22b,2,asia,35vs40,control_inf,0.8
qwen3-235b-a22b,2,asia,40vs50,control_sup,0.9
qwen3-235b-a22b,2,asia,40vs60,control_sup,0.6
qwen3-235b-a22b,2,neo_europe,10vs40,control_inf,1.0
qwen3-235b-a22b,2,neo_europe,20vs40,control_inf,1.0
qwen3-235b-a22b,2,neo_europe,30vs40,control_inf,1.0
qwen3-235b-a22b,2,neo_europe,35vs40,control_inf,0.95
qwen3-235b-a22b,2,neo_europe,40vs50,control_sup,0.65
qwen3-235b-a22b,2,neo_europe,40vs60,control_sup,0.5
qwen3-235b-a22b,2,south_america,10vs40,control_inf,1.0
qwen3-235b-a22b,2,south_america,20vs40,control_inf,1.0
qwen3-235b-a22b,2,south_america,30vs40,control_inf,0.95
qwen3-235b-a22b,2,south_america,35vs40,control_inf,1.0
qwen3-235b-a22b,2,south_america,40vs50,control_sup,0.95
qwen3-235b-a22b,2,south_america,40vs60,control_sup,0.45
qwen3-235b-a22b,3,asia,10vs40,control_inf,1.0
qwen3-235b-a22b,3,asia,20vs40,control_inf,1.0
qwen3-235b-a22b,3,asia,30vs40,control_inf,1.0
qwen3-235b-a22b,3,asia,35vs40,control_inf,1.0
qwen3-235b-a22b,3,asia,40vs50,control_sup,1.0
qwen3-235b-a22b,3,asia,40vs60,control_sup,1.0
qwen3-235b-a22b,3,neo_europe,10vs40,control_inf,1.0
qwen3-235b-a22b,3,neo_europe,20vs40,control_inf,1.0
qwen3-235b-a22b,3,neo_europe,30vs40,control_inf,1.0
qwen3-235b-a22b,3,neo_europe,35vs40,control_inf,1.0
qwen3-235b-a22b,3,neo_europe,40vs50,control_sup,1.0
qwen3-235b-a22b,3,neo_europe,40vs60,control_sup,1.0
qwen3-235b-a22b,3,south_america,10vs40,control_inf,0.2
qwen3-235b-a22b,3,south_america,20vs40,control_inf,0.2
qwen3-235b-a22b,3,south_america,30vs40,control_inf,0.05
qwen3-235b-a22b,3,south_america,35vs40,control_inf,0.0
qwen3-235b-a22b,3,south_america,40vs50,control_sup,0.0
qwen3-235b-a22b,3,south_america,40vs60,control_sup,0.05
