model,fase,region,combinacio,p_generosa
qwen3-235b-a22b,2,asia,39vs41,0.9
qwen3-235b-a22b,2,asia,39vs45,0.85
qwen3-235b-a22b,2,asia,41vs45,0.8
qwen3-235b-a22b,2,asia,38vs46,0.95
qwen3-235b-a22b,2,neo_europe,39vs41,0.95
qwen3-235b-a22b,2,neo_europe,39vs45,1.0
qwen3-235b-a22b,2,neo_europe,41vs45,0.45
qwen3-235b-a22b,2,neo_europe,38vs46,0.95
qwen3-235b-a22b,2,south_america,39vs41,0.95
qwen3-235b-a22b,2,south_america,39vs45,0.9
qwen3-235b-a22b,2,south_america,41vs45,0.85
qwen3-235b-a22b,2,south_america,38vs46,0.9
qwen3-235b-a22b,3,asia,39vs41,1.0
qwen3-235b-a22b,3,asia,39vs45,1.0
qwen3-235b-a22b,3,asia,41vs45,1.0
qwen3-235b-a22b,3,asia,38vs46,1.0
qwen3-235b-a22b,3,neo_europe,39vs41,1.0
qwen3-235b-a22b,3,neo_europe,39vs45,1.0
qwen3-235b-a22b,3,neo_europe,41vs45,1.0
qwen3-235b-a22b,3,neo_europe,38vs46,1.0
qwen3-235b-a22b,3,south_america,39vs41,0.0
qwen3-235b-a22b,3,south_america,39vs45,0.0
qwen3-235b-a22b,3,south_america,41vs45,0.05
qwen3-235b-a22b,3,south_america,38vs46,0.0
